Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","CP_Elec_3x5.3",139.700000,-92.964000,90.000000,top
"D1","LED","LED_0805_2012Metric",139.700000,-98.044000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex_47346-0001",156.718000,-94.488000,90.000000,top
"R1","100k","R_0805_2012Metric",147.320000,-98.044000,0.000000,top
"R2","470k","R_0805_2012Metric",151.257000,-93.599000,-90.000000,top
"R3","270k","R_0805_2012Metric",143.510000,-98.044000,0.000000,top
"U1","NE555D","SOIC-8_3.9x4.9mm_P1.27mm",146.050000,-93.599000,0.000000,top
